#STN     LAT      LON  YYYY MM DD hh mm WDIR WSPD   GST WVHT  DPD APD MWD   PRES  PTDY  ATMP  WTMP  DEWP  VIS   TIDE
#text    deg      deg   yr mo day hr mn degT  m/s   m/s   m   sec sec degT   hPa   hPa  degC  degC  degC  nmi     ft
32012 -19.691  -85.567 2012 01 06 07 50  MM    MM    MM  1.5  14 10.3 204     MM    MM    MM    MM    MM   MM     MM
41001  34.675  -72.698 2012 01 06 07 50  MM    MM    MM  2.1   6  5.7  MM 1018.4  +0.6  13.9  21.6   3.8   MM     MM
41004  32.501  -79.099 2012 01 06 07 50 260   4.0   6.0   MM  MM   MM  MM     MM    MM  16.0  18.9   3.0   MM     MM
41008  31.402  -80.869 2012 01 06 07 50 260   4.0   4.0   MM  MM   MM  MM 1021.5  -0.6  13.9  14.9   6.9   MM     MM
41009  28.519  -80.166 2012 01 06 07 50 300   7.0   8.0  1.3   7  4.7  MM 1022.6  -0.0  17.1  21.2  12.7   MM     MM
41010  28.906  -78.471 2012 01 06 07 50 310   6.0   8.0  1.6   7  5.2  MM 1020.9  -0.7  20.1  23.0    MM   MM     MM
41012  30.041  -80.533 2012 01 06 07 50 280   5.0   7.0  0.7  11  4.2 143 1021.8  +0.0  17.0  21.6    MM   MM     MM
41013  33.436  -77.743 2012 01 06 07 50 260   4.0   6.0  0.7   7  5.0 215 1019.6  -0.8  14.9  19.9   2.6   MM     MM
41029  32.810  -79.630 2012 01 06 07 00 230   2.0    MM   MM  MM   MM  MM     MM    MM    MM    MM    MM   MM     MM
41033  32.280  -80.410 2012 01 06 07 00 270   4.0    MM   MM  MM   MM  MM 1020.9    MM    MM    MM    MM   MM     MM
41036  34.206  -76.952 2012 01 06 07 50  MM    MM    MM  0.8   7  5.3 203 1019.4  -0.5  14.3  19.5   1.1   MM     MM
41037  33.991  -77.360 2012 01 06 07 00 270   4.0   5.0   MM  MM   MM  MM 1019.2  +0.0  13.8  19.6    MM   MM     MM
41038  34.141  -77.715 2012 01 06 07 00 260   4.0   4.0   MM  MM   MM  MM 1019.4  -0.4  12.0  11.9    MM   MM     MM
